,amp_mean,average rdsym,oscillating_amp,oscillating_amp_time,period,ptsym_time,rdsym_time,sample,sample_lastE,sample_nextE,sample_zeroxD,sample_zeroxR,subject,trough_sharp,trough_time,trough_volt,whole_decay_time,whole_rise_time,whole_rise_volt
128,1360.0902952976962,2.8529411764705883,False,False,50,26,-26,22459,22447,22497,22452,22475,bp,154.09375,23,-1262.0,12,38,2030.0
129,1103.5058367747079,2.8529411764705883,False,False,81,6,3,22539,22497,22578,22524,22556,bp,123.00784313725491,32,-3393.0,42,39,3752.0
130,661.8255522228874,2.8529411764705883,False,False,40,-5,14,22605,22578,22618,22594,22610,bp,185.5181818181818,16,-1192.0,27,13,3259.0
131,257.2161856899049,2.8529411764705883,False,False,29,10,-11,22627,22618,22647,22621,22639,bp,116.25,18,365.0,9,20,1498.0
132,771.2437768317183,2.8529411764705883,False,False,49,-7,35,22689,22647,22696,22667,22691,bp,116.36363636363636,24,-1226.0,42,7,984.0
133,427.3649316384437,2.8529411764705883,True,True,34,-6,8,22717,22696,22730,22708,22725,bp,128.22916666666666,17,-1835.0,21,13,2693.0
134,277.03322134473564,2.8529411764705883,True,False,35,15,-13,22741,22730,22765,22736,22750,bp,173.88888888888889,14,-1490.0,11,24,2157.0
135,901.6671579380162,2.8529411764705883,True,False,82,24,-46,22783,22765,22847,22779,22810,bp,164.53703703703704,31,-1348.0,18,64,3234.0
136,2211.2031301788224,2.8529411764705883,True,True,50,21,2,22873,22847,22897,22865,22879,bp,332.39583333333337,14,-3040.0,26,24,5046.0
137,1608.05373302444,2.8529411764705883,True,False,66,-17,18,22939,22897,22963,22914,22951,bp,139.19666666666666,37,-2969.0,42,24,4070.0
138,568.7857052673396,2.8529411764705883,True,False,35,9,-5,22978,22963,22998,22971,22986,bp,112.94642857142857,15,-1068.0,15,20,1435.0
139,824.9752227686688,2.8529411764705883,True,False,66,-5,-18,23022,22998,23064,23010,23043,bp,82.85714285714286,33,-1652.0,24,42,3325.0
140,1592.078662886333,2.8529411764705883,True,True,49,8,1,23089,23064,23113,23071,23094,bp,230.15,23,-2554.0,25,24,3610.0
